"","state.abb","state.name","geo_id","year","name","total_liabilities","net_pension_liability","net_opeb_liability","current_liabilities","net_pension_assets","net_opeb_assets","expenses","revenues","population","urban_pop","pct_urban_pop","median_hh_income_21"
"43","IN","Indiana","18097",2020,"marion county",873586220,114023647,15112759,23965076,0,0,346101589,348954336,977213,968609,0.991205512058395,58737
"44","MD","Maryland","24033",2020,"prince georges county",7876190727,1828515183,2063326398,553578380,0,0,2732961481,2497217158,967194,943654,0.975654491672362,89689
"45","FL","Florida","12103",2020,"pinellas county",1957358812,710305897,697335520,271625819,0,0,1441761042,1558505792,959103,957280,0.998095103048982,61851
"46","GA","Georgia","13135",2020,"gwinnett county",1455596,213317,39204,201771,0,0,1325535,1697363,957027,952537,0.995271988648593,75021
"47","NJ","New Jersey","34003",2020,"bergen county",1293974943,458269025,1209601242,0,0,0,774960411,813424414,955746,954575,0.99878940958344,104777
"48","NY","New York","36029",2020,"erie county",3025657000,289687000,1345295000,237233000,0,0,1970097000,1883843000,954244,855868,0.896914390150864,63014
"49","WI","Wisconsin","55079",2020,"milwaukee county",2876921000,594769000,1415115000,122753000,0,0,1044498000,1171061000,939495,936887,0.997230409296969,56417
"50","IL","Illinois","17043",2020,"dupage county",476399747,165805602,13632860,113741366,0,0,500477128,558287578,932877,931125,0.998121938905129,99536
"51","TN","Tennessee","47157",2020,"shelby county",1845498562,571656496,0,185322233,0,18933000,1310066504,1216535173,929722,898107,0.965972353680153,54931
"52","WA","Washington","53053",2020,"pierce county",758885000,74544000,87223000,91501000,25299000,0,858400000,938767000,921137,858662,0.932183296603085,85492
"53","CA","California","06029",2020,"kern county",2747291000,1804165000,42679000,227726000,0,0,1845376000,1848241000,909244,787826,0.866471264304608,57926
"54","TX","Texas","48121",2020,"denton county",920520035,43366444,124544261,74805984,0,0,358519043,417144223,906405,841126,0.927962913521516,98027
"55","MI","Michigan","26099",2020,"macomb county",588170168,0,110683716,180814373,84215482,0,626031609,838603717,881219,852930,0.967900074555983,67646
"56","TX","Texas","48215",2020,"hidalgo county",669328010,47598461,47475188,146732237,0,0,629203305,639773050,870796,793236,0.910947758391605,44260
"57","TX","Texas","48141",2020,"el paso county",422205749,108703516,48906739,51725969,0,0,383317429,382317073,865655,830826,0.95976350910349,50983
"58","NJ","New Jersey","34023",2020,"middlesex county",769523890,320097775,1171909109,0,0,0,670746438,689147555,863183,854733,0.990234741566473,98992
"59","NJ","New Jersey","34013",2020,"essex county",1244720579,0,0,0,0,0,970983653,1008216197,862782,863609,0.999862225144953,66191
"60","PA","Pennsylvania","42091",2020,"montgomery county",660085418,83324020,0,111189435,0,0,728547177,808381108,856559,827974,0.966634872564803,102648
"61","MD","Maryland","24005",2020,"baltimore county",8640980000,1831608000,1696611000,461723000,0,0,3473559000,3167797000,854554,793614,0.928708595903035,80159
"62","CA","California","06111",2020,"ventura county",2147171000,677172000,131699000,476098000,0,1713000,2098094000,2164226000,843843,815432,0.966331414729991,95819
"63","OH","Ohio","39061",2020,"hamilton county",2670799000,741809000,218552000,189713000,17322000,0,1430020000,1445009000,830625,810853,0.976179784479178,64087
"64","WA","Washington","53061",2020,"snohomish county",658828081,64783002,4929447,129803339,21308309,0,770069215,854744997,827947,730291,0.882039767765717,99650
"65","TX","Texas","48157",2020,"fort bend county",1449434641,47941506,597396893,155833372,0,0,604058894,759862848,822779,783302,0.9520199227253,98070
"66","OR","Oregon","41051",2020,"multnomah county",1265422000,581413000,121091000,170272000,0,0,1357839000,1373076000,815429,804977,0.987183417787959,77851
"67","OK","Oklahoma","40109",2020,"oklahoma county",407711309,11866832,341340034,8640274,0,0,143243674,201157773,796567,735843,0.924086892747886,57890
"68","KY","Kentucky","21111",2020,"jefferson county",2335363514,1158168356,295693343,84027033,0,0,968529820,989561189,782956,770185,0.98367240593178,60636
"69","CA","California","06077",2020,"san joaquin county",2227446646,1584683469,129969434,257288477,0,0,1684207695,1759228543,779227,718832,0.922486599001839,79598
"70","GA","Georgia","13067",2020,"cobb county",1816539766,667140390,178505026,201495859,0,0,1083522938,1224138472,766160,766109,0.99994779083442,87532
"71","CA","California","06081",2020,"san mateo county",1979736000,582014000,93292000,577795000,0,0,1925470000,2201904000,764432,751407,0.982948346637155,131151
"72","GA","Georgia","13089",2020,"dekalb county",2814715000,845083000,611429000,235264000,0,0,1189813000,1228257000,764386,763175,0.998420946594765,70756
"73","FL","Florida","12071",2020,"lee county",2530890000,585079000,807852000,204592000,0,0,1281787000,1299023000,760820,730937,0.960720115874672,66426
"74","NY","New York","36055",2020,"monroe county",2108989000,271901000,608043000,328043000,0,0,1663163000,1647068000,759444,697775,0.918798382498752,66003
"75","CO","Colorado","08041",2020,"el paso county",802181693,485244387,138991599,36876174,0,0,529071537,543782241,730402,655526,0.897495190958317,79094
"76","MA","Massachusetts","25021",2020,"norfolk county",105376198,30650254,55376593,2226019,0,0,41107208,34165053,725999,711300,0.979777707681055,114658
"77","FL","Florida","12105",2020,"polk county",1366570778,519641860,198094593,167107092,0,0,952903062,972172473,725041,646127,0.891153113043862,56344
"78","NJ","New Jersey","34017",2020,"hudson county",1109464808,452267834,471436462,0,0,0,735243231,774659279,724857,724854,1,79159
"79","MO","Missouri","29095",2020,"jackson county",544917604,46067941,5636802,71189070,0,0,357086121,379903957,717206,686587,0.957310611764575,63282
"80","TN","Tennessee","47037",2020,"davidson county",10106765040,303734402,4261044596,431000385,0,0,3182771804,2985439389,715875,693387,0.968574517659286,65463
"81","CO","Colorado","08031",2020,"denver county",11288224000,1699959000,249680000,713552000,17721000,0,3671950000,3707605000,715538,715418,0.999854651569064,81262
"82","IL","Illinois","17097",2020,"lake county",412208585,47434620,18804476,89750647,0,0,500239632,561961256,714351,704232,0.985847115247318,95895
"83","IL","Illinois","17197",2020,"will county",635030409,130130559,43959176,64412446,0,0,399942073,477328660,696362,662409,0.951251875839191,93994
"84","NM","New Mexico","35001",2020,"bernalillo county",802443844,325383442,96053173,87476753,0,0,446263842,492791899,676438,649512,0.960185913394161,59723
"85","AL","Alabama","01073",2020,"jefferson county",2965742000,0,119964000,191938000,142088000,0,803857000,789214000,674355,593276,0.879290847624426,55210
"86","OK","Oklahoma","40143",2020,"tulsa county",248720189,101018575,3994591,16143588,0,0,216565063,329527316,669272,634925,0.948670136071803,59232
"87","UT","Utah","49049",2020,"utah county",328192274,24085947,8261379,59635967,0,0,71794472,332859563,659392,631512,0.957708458763207,86597
"88","MI","Michigan","26081",2020,"kent county",258942401,0,20274392,52041949,56763648,0,402892482,462703732,657984,551457,0.838113664065753,71933
"89","CO","Colorado","08005",2020,"arapahoe county",435652646,208374554,0,52349020,0,0,500917109,509757461,655058,641552,0.979364037431114,84308
"90","PA","Pennsylvania","42017",2020,"bucks county",518377250,2702513,0,163326805,0,0,618696315,693968803,646526,579965,0.897031574323551,99755
"91","NJ","New Jersey","34025",2020,"monmouth county",2519448708,435741708,473743040,0,0,0,637860466,670942714,643608,610605,0.948711574466102,107500
"92","NJ","New Jersey","34029",2020,"ocean county",981487997,320908683,0,0,0,0,575798142,607245768,637229,613695,0.96306822194219,75732
"93","TX","Texas","48339",2020,"montgomery county",1112577123,24066035,253594793,150264813,0,0,544102225,556157482,620451,478509,0.77123764793865,87831
"94","KS","Kansas","20091",2020,"johnson county",1383005817,251000703,23868678,84745526,0,0,744069181,828285621,609864,585241,0.959626998194677,93220
"95","TX","Texas","48491",2020,"williamson county",1352794743,55619549,59226881,92763816,0,0,389341953,507231383,609010,553276,0.908473819285833,96653
"96","FL","Florida","12009",2020,"brevard county",920994570,414905456,27264556,114651332,0,0,686028641,764680908,606603,583073,0.961195953921123,65280
"97","OR","Oregon","41067",2020,"washington county",741441000,278895000,6484000,192488000,0,2660000,607971000,604416000,600383,567381,0.945049069576862,91899
"98","MD","Maryland","24003",2020,"anne arundel county",4134565173,647187251,562453474,229998820,0,0,2157719118,2203700704,588265,544245,0.92517606980575,107281
"99","NE","Nebraska","31055",2020,"douglas county",487154430,180046767,47804755,166713502,0,0,324388383,383481585,584522,570286,0.975638380499755,69475
"100","CO","Colorado","08059",2020,"jefferson county",131834800,0,0,31926606,0,0,454026720,520235062,582902,541241,0.92851555128579,94401
"101","PA","Pennsylvania","42045",2020,"delaware county",1040531829,0,512163395,225111651,10917854,0,718238831,716972528,576842,572303,0.992151933845327,78194
"102","NJ","New Jersey","34039",2020,"union county",0,0,0,0,0,0,0,0,575352,575345,1,85926
"103","DE","Delaware","10003",2020,"new castle county",1257525117,213194225,79725591,354206169,0,0,332826344,373182690,570721,535938,0.939057574743438,74088
"104","FL","Florida","12101",2020,"pasco county",1294675425,516207619,71285733,113046133,0,0,801668981,992386999,561897,521183,0.927551784954733,59555
"105","WI","Wisconsin","55025",2020,"dane county",748979851,0,110903425,102379941,23771724,0,656355019,659479417,561507,485269,0.864230708953097,77653
"106","FL","Florida","12127",2020,"volusia county",695356883,348407115,42048773,107415938,3827549,0,600597772,698702560,553561,506287,0.914629938414902,58246
"107","PA","Pennsylvania","42071",2020,"lancaster county",369119890,4582966,110146185,37517998,0,0,299441574,329406010,552969,398837,0.721245099315713,75619
"108","CA","California","06099",2020,"stanislaus county",1042882524,586184537,30436216,199733235,0,0,1324738173,1305743178,552880,507705,0.918294813684032,73151
"109","MN","Minnesota","27123",2020,"ramsey county",699894491,228158123,133510679,70172127,0,0,940991729,1087437144,552362,552241,0.999799041191125,70485
"110","NC","North Carolina","37081",2020,"guilford county",1222139137,57377689,337432974,107168872,813392,0,618755929,652058437,541309,464669,0.858433139540254,60915
"111","OH","Ohio","39153",2020,"summit county",535726723,217580458,149155201,40371864,0,102498,575124669,621513094,540436,519989,0.962179975870976,63191
"112","WA","Washington","53063",2020,"spokane county",447342000,34115000,40495000,92018000,17006000,0,453742000,526863000,539332,460455,0.853739484813818,65571
"113","OH","Ohio","39113",2020,"montgomery county",707900209,275674018,192563183,54779689,3069266,0,772456125,818520898,537316,507630,0.944763627633261,56636
"114","PA","Pennsylvania","42029",2020,"chester county",740035948,17207877,10387000,123245858,0,0,511304596,519453232,534408,431206,0.806877826699575,109616
"115","MA","Massachusetts","25023",2020,"plymouth county",144863063,33706568,15816234,93711473,0,0,21594317,16771794,530820,464652,0.875349224500253,99445
"116","SC","South Carolina","45045",2020,"greenville county",613256501,232505430,38130664,109306463,0,0,330102648,313651281,525539,463016,0.881039095472415,68487
"117","NJ","New Jersey","34031",2020,"passaic county",832741739,367960238,0,0,0,0,594151005,620544940,525052,509279,0.971687673386528,74016
"118","KS","Kansas","20173",2020,"sedgwick county",431165439,168762539,24106664,86992403,0,0,395452061,432436063,523830,484957,0.925801414215462,60540
"119","NJ","New Jersey","34007",2020,"camden county",1020089234,373549207,370645475,0,0,0,560361897,585052323,523486,516639,0.986922261382848,77675
"120","CO","Colorado","08001",2020,"adams county",477815377,232702751,14884025,31777051,0,0,560285942,603290339,519582,498576,0.959589816233361,80831
"121","IL","Illinois","17089",2020,"kane county",195019766,20780530,10618922,65302961,0,0,250523212,292724015,516520,495745,0.95977518866573,90941
"122","NJ","New Jersey","34027",2020,"morris county",545046906,253897692,363441,0,0,0,383260483,413130952,509277,465716,0.914450651403438,122525
"123","WA","Washington","53011",2020,"clark county",217443583,34594809,25493325,41922062,9542131,0,336464770,461476851,503309,435459,0.865188720294212,83790
"124","IN","Indiana","18089",2020,"lake county",453148883,42792883,292252280,15299183,2312836,0,300454724,353463118,498707,476075,0.954632043312613,61468
"125","ID","Idaho","16001",2020,"ada county",147809654,77093670,0,19850848,0,0,270810059,286644402,494964,467418,0.944341743995054,79345
"126","IA","Iowa","19153",2020,"polk county",389072123,49746611,14647000,21765263,0,0,300712983,322095844,492411,470374,0.955266134715405,73276
"127","CA","California","06097",2020,"sonoma county",1092460000,187359000,216719000,107194000,0,0,944216000,1081429000,488875,422220,0.863677553834101,92999
"128","NV","Nevada","32031",2020,"washoe county",917385946,413343289,236411294,55285621,0,0,608386844,618011285,486489,466197,0.958282972792975,76123
"129","VA","Virginia","51153",2020,"prince william county",1787836000,200496000,48523000,253270000,817000,663000,1455372000,1473916000,482198,460047,0.954050567809475,116354
"130","TN","Tennessee","47093",2020,"knox county",898984397,121292160,6211127,71910812,185713,0,339810202,353699709,478981,434938,0.908067503042982,64817
"131","NY","New York","36067",2020,"onondaga county",1884884705,213400135,618643458,180515934,0,0,911200472,944015868,476511,406757,0.853606174818894,65548
"132","CA","California","06107",2020,"tulare county",829216000,271696000,22668000,165616000,0,0,913817000,915354000,473117,378228,0.799438616663531,57398
"133","FL","Florida","12117",2020,"seminole county",895984671,367319193,13246566,114482294,0,0,612729385,624787985,470855,455579,0.967554836298146,70470
"134","NJ","New Jersey","34005",2020,"burlington county",1018829120,152861939,252861192,0,0,0,285075211,301970442,461863,416738,0.902303728402546,94043
"135","PA","Pennsylvania","42133",2020,"york county",448442754,22364438,53979053,94432251,0,0,502987312,540412216,456442,326551,0.715433421406631,72949
"136","CA","California","06095",2020,"solano county",818256437,557869129,15935270,95791266,0,0,735915412,704443771,453490,433282,0.955436822340465,87348
"137","CA","California","06083",2020,"santa barbara county",1318567000,788048000,109251000,130072000,0,0,1006095000,1054838000,448217,423265,0.944305254680085,83185
"138","LA","Louisiana","22051",2020,"jefferson parish",1296623000,116728000,175147000,84769000,7121000,0,624305000,754033000,440794,433855,0.984286981516898,56080
"139","MN","Minnesota","27037",2020,"dakota county",185214067,111134223,12108677,33017858,0,0,366982505,427900218,439884,417971,0.950188914299744,93850
"140","CA","California","06053",2020,"monterey county",1313721737,693581639,39702617,184943107,0,0,1248346455,1318884843,439036,376458,0.85746694454884,81404
"141","FL","Florida","12115",2020,"sarasota county",1317150599,471058541,9295695,92495963,0,3657947,803974067,950455795,434005,423544,0.975894342474528,71630
"142","OH","Ohio","39095",2020,"lucas county",661372873,223875481,154003949,51055662,2186317,0,486272455,526895261,431273,409779,0.950148279883787,53379
"143","PA","Pennsylvania","42011",2020,"berks county",266192215,0,0,74945406,25466856,0,500906397,542736010,428840,314969,0.734451986596681,68693
"144","AZ","Arizona","04021",2020,"pinal county",510538000,220564000,625000,35431000,0,1913000,282243000,351496000,425257,327317,0.769679540238534,70835
"145","NH","New Hampshire","33011",2020,"hillsborough county",66445379,44534563,11450783,10460033,0,0,106361934,108388748,422941,319583,0.755627906756798,90806
"146","OR","Oregon","41005",2020,"clackamas county",741784482,295381903,61377713,46501385,0,0,633474293,606252909,421404,349301,0.828904060502941,91076
"147","TX","Texas","48061",2020,"cameron county",255004610,11947765,30233502,35334401,0,0,192815629,185476823,421012,346996,0.8241852466765,46436
"148","VA","Virginia","51107",2020,"loudoun county",2693348240,133861541,60669020,564122213,0,47209,1910977237,1961140778,420955,370669,0.880534683900332,153716
"149","SC","South Carolina","45079",2020,"richland county",765382337,203728119,165057215,74362271,0,0,380297777,394333370,416145,380532,0.914417261208179,56940
"150","AL","Alabama","01097",2020,"mobile county",321176640,70270770,39484601,26154882,0,0,218928835,251349614,414812,321907,0.776036681942774,49848
"151","SC","South Carolina","45019",2020,"charleston county",1230883573,273199142,74602421,56135366,0,0,505657252,566754461,408317,371249,0.909400222910823,71755
"152","WI","Wisconsin","55133",2020,"waukesha county",125205616,0,0,24549916,20115248,0,246803846,264791010,406971,345086,0.847922983551937,94506
"153","MI","Michigan","26049",2020,"genesee county",780871823,129451579,539640311,16823232,0,0,235587138,233874606,406217,332284,0.818008374957842,52157
"154","MO","Missouri","29183",2020,"st charles county",88764770,4819089,3499320,30049571,0,0,211578918,259216778,405262,382330,0.943414383781356,92029
"155","CA","California","06061",2020,"placer county",1012961000,633985000,33366000,68219000,0,0,719544000,750660000,404740,345723,0.854187513434584,103588
"156","NY","New York","36071",2020,"orange county",2095953060,164699754,1464335438,113913819,0,0,825960957,721063178,401324,290620,0.724178316015051,88494
"157","FL","Florida","12081",2020,"manatee county",1062823000,401051000,35340000,115321000,0,0,715163000,847766000,399705,380958,0.953085987340822,67929
"158","AR","Arkansas","05119",2020,"pulaski county",34622043,0,0,34622043,0,0,0,0,399117,353778,0.88638396492327,53597
"159","OH","Ohio","39017",2020,"butler county",359653610,128961846,89273318,27907569,1328480,0,323952289,358167198,390378,352841,0.903893102980093,72859
"160","FL","Florida","12097",2020,"osceola county",1304908000,335287000,37792000,51703000,0,0,631497000,681534000,388664,364149,0.936944238606891,60495
"161","AL","Alabama","01089",2020,"madison county",338193780,65314611,184271257,13765878,0,0,140735593,1170317905,388160,321770,0.828977233204432,78386
"162","NJ","New Jersey","34021",2020,"mercer county",1194836270,255083294,324142570,0,0,0,369876211,380509665,387340,367671,0.949220323230237,86499
"163","IN","Indiana","18003",2020,"allen county",106438654,32490684,15170826,14919691,0,0,195907809,224224029,385411,335620,0.870812900547469,62680
"164","FL","Florida","12069",2020,"lake county",438611170,231057016,37048311,36439075,0,0,332630245,329152746,383959,315106,0.820682578212087,64662
"165","OR","Oregon","41039",2020,"lane county",378330817,198496867,63424020,21956508,0,0,339457476,324847370,382975,313918,0.81969130821916,61509
"166","NC","North Carolina","37067",2020,"forsyth county",740725753,46149867,66647741,24480915,679188,0,453988752,462864824,382584,353584,0.924185159047544,60228
"167","FL","Florida","12083",2020,"marion county",551034261,317040864,20909282,49187160,0,0,431638048,490901986,375906,265597,0.706547878736287,54555
"168","FL","Florida","12021",2020,"collier county",1224899629,426770034,37737520,112748463,0,0,875026261,1044818989,375760,332079,0.883771743064575,75799
"169","OH","Ohio","39151",2020,"stark county",315775491,121936372,79611118,21266377,0,449503,287529937,311882249,374853,319531,0.852416814057777,59205
"170","PA","Pennsylvania","42077",2020,"lehigh county",451643087,82611649,148605945,48617342,0,0,472421896,475194574,374572,337596,0.901320760258118,68688
"171","MI","Michigan","26161",2020,"washtenaw county",255611336,109139163,33592171,48928961,0,0,266285072,313823213,372265,308249,0.828052049922366,77359
"172","TX","Texas","48039",2020,"brazoria county",179779336,20461536,54179810,32487778,0,0,186271841,240098384,372040,287969,0.774045711244493,82165
"173","TX","Texas","48027",2020,"bell county",149480832,23498752,970393,13828877,0,0,132054913,149599548,370644,319903,0.863093455498088,58878
"174","TN","Tennessee","47065",2020,"hamilton county",407385343,4844203,22830434,33416393,2346915,0,241841998,282508920,366215,320409,0.8749395833504,65689
"175","VA","Virginia","51041",2020,"chesterfield county",1232112238,189567678,80242879,211280035,0,0,980796323,1178323408,364546,335271,0.919689588202377,86101
"176","MN","Minnesota","27003",2020,"anoka county",312168921,100851687,61471739,26122918,0,0,330957734,423335907,363892,306020,0.840975357734681,88416
"177","UT","Utah","49011",2020,"davis county",127843790,19023396,26093159,16164370,0,0,181201158,230230515,362689,359645,0.991634475665809,93260
"178","CO","Colorado","08069",2020,"larimer county",138355526,0,0,27776147,0,0,313072871,395408787,359066,322283,0.897559223095476,78681
"179","CO","Colorado","08035",2020,"douglas county",75415483,0,0,60394586,0,0,403528593,435378048,357998,325708,0.909854795546095,129839
"180","PA","Pennsylvania","42129",2020,"westmoreland county",232320245,57225177,26627192,49468741,0,0,275491998,293866527,354663,260739,0.735173953866064,63184
"181","TX","Texas","48355",2020,"nueces county",222567723,22623801,0,34077473,0,0,194819246,196158041,353170,331009,0.937229952035518,59337
"182","SC","South Carolina","45051",2020,"horry county",471394000,217400000,43650000,68297000,0,0,331761000,484693000,351028,265294,0.755760920037946,56342
"183","TX","Texas","48167",2020,"galveston county",565428917,14817230,252407229,17653935,0,1232615,225702604,215991044,350673,336429,0.959356339931904,77627
"184","IN","Indiana","18057",2020,"hamilton county",285013791,27640222,109754039,9355423,293614,0,160840026,210697286,347465,327520,0.942593109561484,108203
"185","OR","Oregon","41047",2020,"marion county",256802975,142395975,21345426,16820757,0,0,261882599,255676089,345910,292810,0.846467391304348,64412
"186","NJ","New Jersey","34035",2020,"somerset county",0,0,0,0,0,0,0,0,345356,319350,0.924684605383932,123708
"187","TN","Tennessee","47149",2020,"rutherford county",549527235,0,0,8432119,11196692,0,218999635,274801467,341481,286971,0.840359487651031,77942
"188","NY","New York","36087",2020,"rockland county",2019873768,124197386,989078418,179037565,0,0,599442812,594980219,338329,337010,0.996101427900062,98054
"189","NC","North Carolina","37051",2020,"cumberland county",392166578,36211480,216044289,28768162,558205,0,343042835,391479464,334728,288396,0.861583136158314,52463
"190","VA","Virginia","51087",2020,"henrico county",1585579456,202467470,69602143,164268995,0,0,1021995260,1104980500,334389,322036,0.963057995328794,78888
"191","MD","Maryland","24027",2020,"howard county",2758224249,158265132,430354623,173405497,0,0,1552120257,1723259094,332316,292846,0.881224854581619,131412
"192","CO","Colorado","08013",2020,"boulder county",437168737,149693672,16321597,40049407,0,0,338170660,440906694,330764,299658,0.905973551660126,90327
"193","FL","Florida","12111",2020,"st lucie county",538311690,205203057,59665228,38836160,0,0,375091768,411802836,329227,317579,0.964623085661521,62378
"194","CO","Colorado","08123",2020,"weld county",59365268,6582519,786799,45271838,6274442,0,293745625,388057016,328976,263140,0.799863821922847,84826
"195","SC","South Carolina","45083",2020,"spartanburg county",352396017,149188176,91083839,27393057,0,0,187027424,258176909,328002,231188,0.704847910194301,60470
"196","PA","Pennsylvania","42079",2020,"luzerne county",346770998,80098889,9519988,31853751,0,0,245230326,274159935,325613,253239,0.777775388981369,58645
"197","NC","North Carolina","37063",2020,"durham county",840112815,48346231,173238390,27733760,745996,0,515616964,530399353,324849,308224,0.948869111204835,71436
"198","NE","Nebraska","31109",2020,"lancaster county",76791686,0,0,13572007,0,0,143570705,155995687,322615,291217,0.902696151366364,65436
